id_candidato,nombre,tipo,municipio,provincia,latitud,longitud,nota
AV_SONSESOLES,Hospital Nuestra Señora de Sonsoles,hospital,Ávila,Ávila,40.6659,-4.6667,"Hospital público de referencia en Ávila, dispone de helipuerto sanitario."
BU_HUBU,Hospital Universitario de Burgos (HUBU),hospital,Burgos,Burgos,42.3619,-3.684,Hospital universitario con helipuerto en Burgos.
LE_HULEON,Complejo Asistencial Universitario de León,hospital,León,León,42.6132,-5.5577,Hospital de referencia en León; base habitual de recursos aéreos.
LE_BIERZO,Hospital del Bierzo,hospital,Ponferrada,León,42.5461,-6.5908,Hospital comarcal en El Bierzo; se toma el centro de Ponferrada como aproximación de coordenadas.
PA_CAUPA,Complejo Asistencial Universitario de Palencia,hospital,Palencia,Palencia,42.0006,-4.5397,Complejo Asistencial Universitario de Palencia; coordenadas del plan de acogida de nuevos profesionales.
SA_CHUSAL,Complejo Asistencial Universitario de Salamanca,hospital,Salamanca,Salamanca,40.964,-5.6731,"Hospital universitario de Salamanca, centro de referencia regional."
SG_HGSEG,Hospital General de Segovia,hospital,Segovia,Segovia,40.9426,-4.1285,Hospital General de Segovia; coordenadas oficiales.
SO_HSANTA,Hospital Santa Bárbara,hospital,Soria,Soria,41.7715,-2.4715,Hospital de Soria donde se han proyectado obras en el helipuerto.
VA_RHORT,Hospital Universitario Río Hortega,hospital,Valladolid,Valladolid,41.6288,-4.7115,Hospital universitario de Valladolid con helipuerto.
