municipio_id,base_asignada_id,tiempo_minutos,id_mun,municipio,poblacion,lat_muni,lon_muni,id_base,helipuerto_nombre,lat_heli,lon_heli,distancia_km
5123,5057,12.790912206019028,5123,MEDIANA DE VOLTOYA,117,40.70062,-4.5626,5057,Base CEBREROS,40.454779,-4.464399,46.900011422069774
5125,5057,17.412920887833067,5125,MENGAMUÑOZ,54,40.500807,-4.999097,5057,Base CEBREROS,40.454779,-4.464399,63.84737658872125
5132,5057,19.086444884317043,5132,MOMBELTRÁN,916,40.260166,-5.017888,5057,Base CEBREROS,40.454779,-4.464399,69.98363124249582
5134,37294,21.14265485850107,5134,MORALEJA DE MATACABRAS,53,41.107301,-4.957097,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,77.52306781450393
5145,5057,18.194649327710202,5145,NARRILLOS DEL REBOLLAR,34,40.66492,-4.965875,5057,Base CEBREROS,40.454779,-4.464399,66.71371420160408
5149,5057,20.7841267547467,5149,NARROS DE SALDUEÑA,106,40.874873,-4.869506,5057,Base CEBREROS,40.454779,-4.464399,76.20846476740456
5153,37294,25.011782296227587,5153,NAVA DEL BARCO,83,40.293301,-5.541534,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,91.70986841950115
5151,5057,21.636046581473856,5151,NAVACEPEDILLA DE CORNEJA,100,40.485839,-5.18435,5057,Base CEBREROS,40.454779,-4.464399,79.33217079873748
5156,5057,8.984802751782977,5156,NAVAHONDILLA,353,40.325282,-4.493649,5057,Base CEBREROS,40.454779,-4.464399,32.94427675653758
5159,37294,25.609634124747544,5159,NAVALONGUILLA,185,40.277609,-5.49816,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,93.901991790741
5165,5057,20.763442187505362,5165,NAVARREDONDA DE GREDOS,446,40.362113,-5.136119,5057,Base CEBREROS,40.454779,-4.464399,76.13262135418633
5166,5057,13.234583076843824,5166,NAVARREDONDILLA,158,40.453563,-4.821246,5057,Base CEBREROS,40.454779,-4.464399,48.52680461509402
5170,37294,23.759388225146342,5170,NAVATEJARES,50,40.335782,-5.530851,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,87.11775682553659
5173,5057,12.725980885858068,5173,OJOS-ALBOS,96,40.706461,-4.516428,5057,Base CEBREROS,40.454779,-4.464399,46.661929914812916
5178,47175,19.88682692231015,5178,PALACIOS DE GODA,397,41.117852,-4.784989,47175,Base TUDELA DE DUERO,41.584008,-4.58001,72.91836538180388
5179,5057,20.165088945227303,5179,PAPATRIGO,219,40.870151,-4.831484,5057,Base CEBREROS,40.454779,-4.464399,73.93865946583345
5183,40194,20.125663367334237,5183,PEDRO-RODRÍGUEZ,134,40.936524,-4.785315,40194,Base SEGOVIA,40.94987,-4.125241,73.79409901355886
5185,5057,16.61758568279295,5185,PEÑALBA DE ÁVILA,105,40.771991,-4.747349,5057,Base CEBREROS,40.454779,-4.464399,60.931147503574145
5187,5057,11.817345727367615,5187,PIEDRALAVES,2150,40.317684,-4.6983,5057,Base CEBREROS,40.454779,-4.464399,43.33026766701459
5189,5057,23.333240631218846,5189,POYALES DEL HOYO,487,40.172433,-5.165447,5057,Base CEBREROS,40.454779,-4.464399,85.55521564780243
