municipio_id,municipio,poblacion,lat_muni,lon_muni,centro_id,helipuerto_nombre,lat_heli,lon_heli,tiempo_min,distancia_km
5007,ALDEANUEVA DE SANTA CRUZ,102,40.38196,-5.419593,SA_CHUSAL,Salamanca,40.964,-5.6731,18.58898789081333,68.15962226631554
5008,ALDEASECA,203,41.049202,-4.817519,AV_SONSESOLES,Ávila,40.6659,-4.6667,12.127787948261346,44.468555810291605
5016,ARÉVALO,7830,41.065505,-4.718925,AV_SONSESOLES,Ávila,40.6659,-4.6667,12.177420454104125,44.65054166504846
5034,BLASCONUÑO DE MATACABRAS,14,41.123872,-4.989882,AV_SONSESOLES,Ávila,40.6659,-4.6667,15.740811450557636,57.71630865204466
5035,BLASCOSANCHO,100,40.878249,-4.637347,AV_SONSESOLES,Ávila,40.6659,-4.6667,6.4748609096098475,23.74115666856944
5037,BOHOYO,214,40.316655,-5.442655,SA_CHUSAL,Salamanca,40.964,-5.6731,20.334908259917118,74.56133028636276
5042,CABEZAS DE ALAMBRE,153,40.943158,-4.840579,AV_SONSESOLES,Ávila,40.6659,-4.6667,9.307370730798514,34.127026012927885
5048,CANTIVEROS,99,40.951929,-4.956185,AV_SONSESOLES,Ávila,40.6659,-4.6667,10.926628654442975,40.064305066290906
5056,CASTELLANOS DE ZAPARDIEL,113,41.084718,-4.908902,AV_SONSESOLES,Ávila,40.6659,-4.6667,13.862194792515291,50.828047572556066
5059,CILLÁN,79,40.704366,-4.977995,AV_SONSESOLES,Ávila,40.6659,-4.6667,7.253027569610704,26.594434421905916
5060,CISLA,102,40.965295,-5.013227,AV_SONSESOLES,Ávila,40.6659,-4.6667,12.070153627248859,44.257229966579146
5063,COLLADO DEL MIRÓN,20,40.55449,-5.353557,SA_CHUSAL,Salamanca,40.964,-5.6731,14.425735088892601,52.89436199260621
5070,DONVIDAS,36,41.08864,-4.804724,AV_SONSESOLES,Ávila,40.6659,-4.6667,13.204838007934288,48.41773936242572
5022,EL BARRACO,2027,40.476079,-4.641142,AV_SONSESOLES,Ávila,40.6659,-4.6667,5.78651892467511,21.21723605714207
5036,EL BOHODÓN,110,40.916264,-4.729838,AV_SONSESOLES,Ávila,40.6659,-4.6667,7.729658734424816,28.342082026224325
5175,EL OSO,129,40.842842,-4.77127,AV_SONSESOLES,Ávila,40.6659,-4.6667,5.879095101496544,21.55668203882066
5241,EL TIEMBLO,4526,40.415683,-4.500749,AV_SONSESOLES,Ávila,40.6659,-4.6667,8.497368401740594,31.157017473048843
5072,ESPINOSA DE LOS CABALLEROS,97,41.009119,-4.650974,AV_SONSESOLES,Ávila,40.6659,-4.6667,10.41467318339537,38.18713500578302
5073,FLORES DE ÁVILA,270,40.934203,-5.078097,AV_SONSESOLES,Ávila,40.6659,-4.6667,12.46580103442752,45.70793712623424
5077,FUENTE EL SAÚZ,151,40.977514,-4.909221,AV_SONSESOLES,Ávila,40.6659,-4.6667,10.967126600949973,40.212797536816566
5080,GALLEGOS DE SOBRINOS,45,40.717329,-5.112086,AV_SONSESOLES,Ávila,40.6659,-4.6667,10.359267245329022,37.98397989953975
5081,GARGANTA DEL VILLAR,39,40.449708,-5.105238,AV_SONSESOLES,Ávila,40.6659,-4.6667,12.044641771946482,44.1636864971371
5082,GAVILANES,529,40.276857,-4.85384,AV_SONSESOLES,Ávila,40.6659,-4.6667,12.563172335353435,46.064965229629266
5083,GEMUÑO,142,40.592925,-4.782303,AV_SONSESOLES,Ávila,40.6659,-4.6667,3.4607205586267344,12.689308714964694
5084,GILBUENA,48,40.414288,-5.608838,SA_CHUSAL,Salamanca,40.964,-5.6731,16.735867746466756,61.36484840371145
5092,HERNANSANCHO,142,40.857489,-4.730337,AV_SONSESOLES,Ávila,40.6659,-4.6667,5.991158862685607,21.96758249651389
5093,HERRADÓN DE PINARES,495,40.565312,-4.56023,AV_SONSESOLES,Ávila,40.6659,-4.6667,3.913089402659859,14.347994476419483
5095,HIGUERA DE LAS DUEÑAS,270,40.237883,-4.601122,AV_SONSESOLES,Ávila,40.6659,-4.6667,13.067914004455767,47.91568468300448
5106,HOYOS DE MIGUEL MUÑOZ,27,40.393433,-5.066902,AV_SONSESOLES,Ávila,40.6659,-4.6667,12.384101652245139,45.40837272489885
5104,HOYOS DEL COLLADO,30,40.358702,-5.199375,AV_SONSESOLES,Ávila,40.6659,-4.6667,15.414789410134045,56.52089450382483
5105,HOYOS DEL ESPINO,344,40.362041,-5.179052,AV_SONSESOLES,Ávila,40.6659,-4.6667,14.981424338776437,54.93188924218027
5051,LA CARRERA,160,40.347336,-5.555148,SA_CHUSAL,Salamanca,40.964,-5.6731,18.89673864521494,69.28804169912144
5110,LANZAHÍTA,788,40.203679,-4.936954,AV_SONSESOLES,Ávila,40.6659,-4.6667,15.34265105472157,56.256387200645754
5027,LAS BERLANAS,323,40.803561,-4.761169,AV_SONSESOLES,Ávila,40.6659,-4.6667,4.705366863604806,17.253011833217624
5168,LAS NAVAS DEL MARQUÉS,5590,40.603046,-4.326009,AV_SONSESOLES,Ávila,40.6659,-4.6667,8.068922965526482,29.586050873597102
5113,LOS LLANOS DE TORMES,103,40.328312,-5.498676,SA_CHUSAL,Salamanca,40.964,-5.6731,19.69113697088349,72.20083555990614
5114,MADRIGAL DE LAS ALTAS TORRES,1299,41.089759,-4.99833,AV_SONSESOLES,Ávila,40.6659,-4.6667,14.934687479754169,54.76052075909862
5115,MAELLO,700,40.811033,-4.509819,AV_SONSESOLES,Ávila,40.6659,-4.6667,5.689091525594405,20.860002260512818
5117,MAMBLAS,196,41.019192,-5.009849,AV_SONSESOLES,Ávila,40.6659,-4.6667,13.295206505421394,48.74909051987844
5120,MARLÍN,31,40.712762,-4.829378,AV_SONSESOLES,Ávila,40.6659,-4.6667,4.001597263187502,14.672523298354173
5123,MEDIANA DE VOLTOYA,117,40.70062,-4.5626,AV_SONSESOLES,Ávila,40.6659,-4.6667,2.615290247216416,9.589397573126858
5125,MENGAMUÑOZ,54,40.500807,-4.999097,AV_SONSESOLES,Ávila,40.6659,-4.6667,9.147296491718057,33.54008713629954
5132,MOMBELTRÁN,916,40.260166,-5.017888,AV_SONSESOLES,Ávila,40.6659,-4.6667,14.732605748093428,54.019554409675905
5134,MORALEJA DE MATACABRAS,53,41.107301,-4.957097,AV_SONSESOLES,Ávila,40.6659,-4.6667,14.950162944155945,54.8172641285718
5145,NARRILLOS DEL REBOLLAR,34,40.66492,-4.965875,AV_SONSESOLES,Ávila,40.6659,-4.6667,6.881993019117516,25.233974403430892
5149,NARROS DE SALDUEÑA,106,40.874873,-4.869506,AV_SONSESOLES,Ávila,40.6659,-4.6667,7.864877857552045,28.837885477690836
5153,NAVA DEL BARCO,83,40.293301,-5.541534,SA_CHUSAL,Salamanca,40.964,-5.6731,20.563705562813862,75.40025373031749
5151,NAVACEPEDILLA DE CORNEJA,100,40.485839,-5.18435,AV_SONSESOLES,Ávila,40.6659,-4.6667,13.11434473401006,48.08593069137022
5156,NAVAHONDILLA,353,40.325282,-4.493649,AV_SONSESOLES,Ávila,40.6659,-4.6667,11.073659333710568,40.60341755693875
5159,NAVALONGUILLA,185,40.277609,-5.49816,SA_CHUSAL,Salamanca,40.964,-5.6731,21.201330547194292,77.73821200637907
5165,NAVARREDONDA DE GREDOS,446,40.362113,-5.136119,AV_SONSESOLES,Ávila,40.6659,-4.6667,14.212611445822054,52.11290863468086
5166,NAVARREDONDILLA,158,40.453563,-4.821246,AV_SONSESOLES,Ávila,40.6659,-4.6667,7.3581856494992355,26.980014048163863
5170,NAVATEJARES,50,40.335782,-5.530851,SA_CHUSAL,Salamanca,40.964,-5.6731,19.33035232773089,70.87795853501326
5173,OJOS-ALBOS,96,40.706461,-4.516428,AV_SONSESOLES,Ávila,40.6659,-4.6667,3.668027690406926,13.449434864825394
5178,PALACIOS DE GODA,397,41.117852,-4.784989,AV_SONSESOLES,Ávila,40.6659,-4.6667,13.971530216255877,51.22894412627155
5179,PAPATRIGO,219,40.870151,-4.831484,AV_SONSESOLES,Ávila,40.6659,-4.6667,7.258831971441041,26.615717228617154
5183,PEDRO-RODRÍGUEZ,134,40.936524,-4.785315,AV_SONSESOLES,Ávila,40.6659,-4.6667,8.646837046450335,31.705069170317895
5185,PEÑALBA DE ÁVILA,105,40.771991,-4.747349,AV_SONSESOLES,Ávila,40.6659,-4.6667,3.713108721874234,13.614731980205525
5187,PIEDRALAVES,2150,40.317684,-4.6983,AV_SONSESOLES,Ávila,40.6659,-4.6667,10.585077837287642,38.81195207005469
5189,POYALES DEL HOYO,487,40.172433,-5.165447,AV_SONSESOLES,Ávila,40.6659,-4.6667,18.882188185561727,69.23469001372632
5193,RASUEROS,160,41.023092,-5.074918,SA_CHUSAL,Salamanca,40.964,-5.6731,13.808818015190216,50.632332722364126
