municipio_id;base_asignada_id;tiempo_minutos;id_mun;municipio;poblacion;id_base;nombre;region
5007;37294;22.89076140042876;5007;ALDEANUEVA DE SANTA CRUZ;102;37294;Base SANTA MARTA DE TORMES;SALAMANCA
5008;40194;21.128205487154418;5008;ALDEASECA;203;40194;Base SEGOVIA;SEGOVIA
5016;40194;19.031435148808114;5016;ARÉVALO;7830;40194;Base SEGOVIA;SEGOVIA
5034;37294;20.58913900014658;5034;BLASCONUÑO DE MATACABRAS;14;37294;Base SANTA MARTA DE TORMES;SALAMANCA
5035;40194;16.935233543528888;5035;BLASCOSANCHO;100;40194;Base SEGOVIA;SEGOVIA
5037;37294;24.68077659527672;5037;BOHOYO;214;37294;Base SANTA MARTA DE TORMES;SALAMANCA
5042;40194;21.386608876218453;5042;CABEZAS DE ALAMBRE;153;40194;Base SEGOVIA;SEGOVIA
5048;37294;20.45798047689445;5048;CANTIVEROS;99;37294;Base SANTA MARTA DE TORMES;SALAMANCA
5056;47175;21.892246783009146;5056;CASTELLANOS DE ZAPARDIEL;113;47175;Base TUDELA DE DUERO;VALLADOLID
5059;5057;19.043643699527696;5059;CILLÁN;79;5057;Base CEBREROS;ÁVILA
5060;37294;19.15781735440141;5060;CISLA;102;37294;Base SANTA MARTA DE TORMES;SALAMANCA
5063;37294;18.574817645508617;5063;COLLADO DEL MIRÓN;20;37294;Base SANTA MARTA DE TORMES;SALAMANCA
5070;47175;20.86995088408981;5070;DONVIDAS;36;47175;Base TUDELA DE DUERO;VALLADOLID
5022;5057;9.1286332601101;5022;EL BARRACO;2027;5057;Base CEBREROS;ÁVILA
5036;40194;18.88901123994998;5036;EL BOHODÓN;110;40194;Base SEGOVIA;SEGOVIA
5175;5057;18.72396797840712;5175;EL OSO;129;5057;Base CEBREROS;ÁVILA
5241;5057;6.452475089773049;5241;EL TIEMBLO;4526;5057;Base CEBREROS;ÁVILA
5072;40194;17.169672177841598;5072;ESPINOSA DE LOS CABALLEROS;97;40194;Base SEGOVIA;SEGOVIA
5073;37294;17.67593276870995;5073;FLORES DE ÁVILA;270;37294;Base SANTA MARTA DE TORMES;SALAMANCA
5077;37294;21.551827990813827;5077;FUENTE EL SAÚZ;151;37294;Base SANTA MARTA DE TORMES;SALAMANCA
5080;37294;18.836693531874463;5080;GALLEGOS DE SOBRINOS;45;37294;Base SANTA MARTA DE TORMES;SALAMANCA
5081;5057;19.78902098714483;5081;GARGANTA DEL VILLAR;39;5057;Base CEBREROS;ÁVILA
5082;5057;15.49212041881629;5082;GAVILANES;529;5057;Base CEBREROS;ÁVILA
5083;5057;13.441223512403;5083;GEMUÑO;142;5057;Base CEBREROS;ÁVILA
5084;37294;21.244380054244875;5084;GILBUENA;48;37294;Base SANTA MARTA DE TORMES;SALAMANCA
5092;5057;18.659367933666765;5092;HERNANSANCHO;142;5057;Base CEBREROS;ÁVILA
5093;5057;9.014723095667831;5093;HERRADÓN DE PINARES;495;5057;Base CEBREROS;ÁVILA
5095;5057;12.297271425932895;5095;HIGUERA DE LAS DUEÑAS;270;5057;Base CEBREROS;ÁVILA
5106;5057;19.033248570097186;5106;HOYOS DE MIGUEL MUÑOZ;27;5057;Base CEBREROS;ÁVILA
5104;5057;22.220298261200504;5104;HOYOS DEL COLLADO;30;5057;Base CEBREROS;ÁVILA
5105;5057;21.74024628969796;5105;HOYOS DEL ESPINO;344;5057;Base CEBREROS;ÁVILA
5051;37294;23.35005310179412;5051;LA CARRERA;160;37294;Base SANTA MARTA DE TORMES;SALAMANCA
5110;5057;18.316759715984862;5110;LANZAHÍTA;788;5057;Base CEBREROS;ÁVILA
5027;5057;17.59080196207434;5027;LAS BERLANAS;323;5057;Base CEBREROS;ÁVILA
5168;5057;10.512928972590288;5168;LAS NAVAS DEL MARQUÉS;5590;5057;Base CEBREROS;ÁVILA
5113;37294;24.088341404034516;5113;LOS LLANOS DE TORMES;103;37294;Base SANTA MARTA DE TORMES;SALAMANCA
5114;37294;20.087730202218435;5114;MADRIGAL DE LAS ALTAS TORRES;1299;37294;Base SANTA MARTA DE TORMES;SALAMANCA
5115;40194;14.77147633977474;5115;MAELLO;700;40194;Base SEGOVIA;SEGOVIA
5117;37294;19.376819617537038;5117;MAMBLAS;196;37294;Base SANTA MARTA DE TORMES;SALAMANCA
5120;5057;16.48332232174146;5120;MARLÍN;31;5057;Base CEBREROS;ÁVILA
5123;5057;12.790912206019028;5123;MEDIANA DE VOLTOYA;117;5057;Base CEBREROS;ÁVILA
5125;5057;17.412920887833067;5125;MENGAMUÑOZ;54;5057;Base CEBREROS;ÁVILA
5132;5057;19.086444884317043;5132;MOMBELTRÁN;916;5057;Base CEBREROS;ÁVILA
5134;37294;21.14265485850107;5134;MORALEJA DE MATACABRAS;53;37294;Base SANTA MARTA DE TORMES;SALAMANCA
5145;5057;18.194649327710202;5145;NARRILLOS DEL REBOLLAR;34;5057;Base CEBREROS;ÁVILA
5149;5057;20.7841267547467;5149;NARROS DE SALDUEÑA;106;5057;Base CEBREROS;ÁVILA
5153;37294;25.011782296227587;5153;NAVA DEL BARCO;83;37294;Base SANTA MARTA DE TORMES;SALAMANCA
5151;5057;21.636046581473856;5151;NAVACEPEDILLA DE CORNEJA;100;5057;Base CEBREROS;ÁVILA
5156;5057;8.984802751782977;5156;NAVAHONDILLA;353;5057;Base CEBREROS;ÁVILA
5159;37294;25.609634124747544;5159;NAVALONGUILLA;185;37294;Base SANTA MARTA DE TORMES;SALAMANCA
