cod_ine,municipio,provincia,poblacion,latitud,longitud
9041,BARRIO DE MUÑÓ,BURGOS,32,42.174503,-4.008068
9047,BELBIMBRE,BURGOS,54,42.168607,-4.012817
9051,BERLANGAS DE ROA,BURGOS,203,41.689249,-3.872793
9052,BERZOSA DE BUREBA,BURGOS,26,42.627,-3.266343
9057,BUGEDO,BURGOS,189,42.649938,-3.017774
9059,BURGOS,BURGOS,175895,42.34113,-3.704198
9065,CAMPILLO DE ARANDA,BURGOS,171,41.610745,-3.731552
9067,CANICOSA DE LA SIERRA,BURGOS,424,41.937898,-3.04051
9068,CANTABRANA,BURGOS,23,42.73364,-3.467654
9071,CARCEDO DE BUREBA,BURGOS,37,42.576981,-3.498959
9073,CARDEÑADIJO,BURGOS,1430,42.301727,-3.666756
9074,CARDEÑAJIMENO,BURGOS,1169,42.330584,-3.619723
9077,CASCAJARES DE BUREBA,BURGOS,27,42.677838,-3.237474
9085,CASTRILLO DE LA VEGA,BURGOS,621,41.65074,-3.779261
9086,CASTRILLO DEL VAL,BURGOS,823,42.31343,-3.584971
9091,CASTROJERIZ,BURGOS,778,42.289864,-4.143335
9063,CAVIA,BURGOS,248,42.282547,-3.844237
9094,CEBRECOS,BURGOS,58,41.984871,-3.596263
9100,CERRATÓN DE JUARROS,BURGOS,45,42.422384,-3.373869
9102,CILLAPERLATA,BURGOS,30,42.780866,-3.357062
9105,CIRUELOS DE CERVERA,BURGOS,99,41.906957,-3.52891
9112,CORUÑA DEL CONDE,BURGOS,100,41.765435,-3.392005
9114,CUBILLO DEL CAMPO,BURGOS,101,42.170096,-3.610891
9123,ESPINOSA DEL CAMINO,BURGOS,42,42.407118,-3.278989
9127,FONTIOSO,BURGOS,54,41.943435,-3.738642
9133,FRESNO DE RODILLA,BURGOS,49,42.418823,-3.483545
9136,FUENTECÉN,BURGOS,237,41.628247,-3.87023
9140,FUENTENEBRO,BURGOS,136,41.528413,-3.753817
9155,HAZA,BURGOS,34,41.621037,-3.830592
9172,HUÉRMECES,BURGOS,153,42.522613,-3.771976
9175,HUMADA,BURGOS,116,42.668685,-4.083744
