id,nombre,tipo,municipio,provincia,lat,lon,nota
40063,Base CUÉLLAR,Aerodromo/Helipuerto,CUÉLLAR,SEGOVIA,41.403698,-4.317391,Candidato Top 8 Poblacion
40155,Base PALAZUELOS DE ERESMA,Aerodromo/Helipuerto,PALAZUELOS DE ERESMA,SEGOVIA,40.930552,-4.061178,Candidato Top 8 Poblacion
40181,Base REAL SITIO DE SAN ILDEFONSO,Aerodromo/Helipuerto,REAL SITIO DE SAN ILDEFONSO,SEGOVIA,40.897628,-4.004759,Candidato Top 8 Poblacion
40112,Base LA LASTRILLA,Aerodromo/Helipuerto,LA LASTRILLA,SEGOVIA,40.968941,-4.103757,Candidato Top 8 Poblacion
40040,Base CANTALEJO,Aerodromo/Helipuerto,CANTALEJO,SEGOVIA,41.258455,-3.927067,Candidato Top 8 Poblacion
40906,Base SAN CRISTÓBAL DE SEGOVIA,Aerodromo/Helipuerto,SAN CRISTÓBAL DE SEGOVIA,SEGOVIA,40.952063,-4.075792,Candidato Top 8 Poblacion
42173,Base SORIA,Aerodromo/Helipuerto,SORIA,SORIA,41.763279,-2.466248,Candidato Top 8 Poblacion
42020,Base ALMAZÁN,Aerodromo/Helipuerto,ALMAZÁN,SORIA,41.486994,-2.53291,Candidato Top 8 Poblacion
42043,Base BURGO DE OSMA-CIUDAD DE OSMA,Aerodromo/Helipuerto,BURGO DE OSMA-CIUDAD DE OSMA,SORIA,41.585776,-3.071508,Candidato Top 8 Poblacion
42134,Base ÓLVEGA,Aerodromo/Helipuerto,ÓLVEGA,SORIA,41.780458,-1.982666,Candidato Top 8 Poblacion
42004,Base ÁGREDA,Aerodromo/Helipuerto,ÁGREDA,SORIA,41.85517,-1.919656,Candidato Top 8 Poblacion
42095,Base GOLMAYO,Aerodromo/Helipuerto,GOLMAYO,SORIA,41.765435,-2.524146,Candidato Top 8 Poblacion
42162,Base SAN ESTEBAN DE GORMAZ,Aerodromo/Helipuerto,SAN ESTEBAN DE GORMAZ,SORIA,41.575287,-3.208325,Candidato Top 8 Poblacion
42164,Base SAN LEONARDO DE YAGÜE,Aerodromo/Helipuerto,SAN LEONARDO DE YAGÜE,SORIA,41.829305,-3.066742,Candidato Top 8 Poblacion
47186,Base VALLADOLID,Aerodromo/Helipuerto,VALLADOLID,VALLADOLID,41.652328,-4.723349,Candidato Top 8 Poblacion
47076,Base LAGUNA DE DUERO,Aerodromo/Helipuerto,LAGUNA DE DUERO,VALLADOLID,41.583318,-4.722149,Candidato Top 8 Poblacion
47010,Base ARROYO DE LA ENCOMIENDA,Aerodromo/Helipuerto,ARROYO DE LA ENCOMIENDA,VALLADOLID,41.609108,-4.797806,Candidato Top 8 Poblacion
47085,Base MEDINA DEL CAMPO,Aerodromo/Helipuerto,MEDINA DEL CAMPO,VALLADOLID,41.307578,-4.915187,Candidato Top 8 Poblacion
47052,Base CISTÉRNIGA,Aerodromo/Helipuerto,CISTÉRNIGA,VALLADOLID,41.612284,-4.685702,Candidato Top 8 Poblacion
47175,Base TUDELA DE DUERO,Aerodromo/Helipuerto,TUDELA DE DUERO,VALLADOLID,41.584008,-4.58001,Candidato Top 8 Poblacion
47165,Base TORDESILLAS,Aerodromo/Helipuerto,TORDESILLAS,VALLADOLID,41.502023,-5.001276,Candidato Top 8 Poblacion
47075,Base ÍSCAR,Aerodromo/Helipuerto,ÍSCAR,VALLADOLID,41.364199,-4.530714,Candidato Top 8 Poblacion
49275,Base ZAMORA,Aerodromo/Helipuerto,ZAMORA,ZAMORA,41.49914,-5.754948,Candidato Top 8 Poblacion
49021,Base BENAVENTE,Aerodromo/Helipuerto,BENAVENTE,ZAMORA,42.001729,-5.680069,Candidato Top 8 Poblacion
49219,Base TORO,Aerodromo/Helipuerto,TORO,ZAMORA,41.51991,-5.394642,Candidato Top 8 Poblacion
49127,Base MORALES DEL VINO,Aerodromo/Helipuerto,MORALES DEL VINO,ZAMORA,41.446216,-5.730921,Candidato Top 8 Poblacion
49125,Base MORALEJA DEL VINO,Aerodromo/Helipuerto,MORALEJA DEL VINO,ZAMORA,41.462369,-5.656529,Candidato Top 8 Poblacion
49261,Base VILLARALBO,Aerodromo/Helipuerto,VILLARALBO,ZAMORA,41.491481,-5.682754,Candidato Top 8 Poblacion
49081,Base FUENTESAÚCO,Aerodromo/Helipuerto,FUENTESAÚCO,ZAMORA,41.231354,-5.495629,Candidato Top 8 Poblacion
49250,Base VILLALPANDO,Aerodromo/Helipuerto,VILLALPANDO,ZAMORA,41.864879,-5.414703,Candidato Top 8 Poblacion
24115,Base PONFERRADA,Aerodromo/Helipuerto,PONFERRADA,LEÓN,42.547681,-6.5973,Candidato Top 8 Poblacion
24014,Base BEMBIBRE,Aerodromo/Helipuerto,BEMBIBRE,LEÓN,42.615067,-6.416706,Candidato Top 8 Poblacion
24030,Base CACABELOS,Aerodromo/Helipuerto,CACABELOS,LEÓN,42.599569,-6.725968,Candidato Top 8 Poblacion
24070,Base FABERO,Aerodromo/Helipuerto,FABERO,LEÓN,42.763088,-6.628094,Candidato Top 8 Poblacion
24209,Base VILLAFRANCA DEL BIERZO,Aerodromo/Helipuerto,VILLAFRANCA DEL BIERZO,LEÓN,42.605994,-6.810821,Candidato Top 8 Poblacion
