municipio_id,base_asignada_id,tiempo_minutos,id_mun,municipio,poblacion,lat_muni,lon_muni,id_base,helipuerto_nombre,lat_heli,lon_heli,distancia_km
5114,5019,19.85446340067966,5114,MADRIGAL DE LAS ALTAS TORRES,1299,41.089759,-4.99833,5019,Base ÁVILA,40.65587,-4.697713,72.79969913582542
5115,5019,11.386232924325046,5115,MAELLO,700,40.811033,-4.509819,5019,Base ÁVILA,40.65587,-4.697713,41.74952072252517
5117,5019,18.140941692281913,5117,MAMBLAS,196,41.019192,-5.009849,5019,Base ÁVILA,40.65587,-4.697713,66.51678620503368
5120,5019,8.484888166802735,5120,MARLÍN,31,40.712762,-4.829378,5019,Base ÁVILA,40.65587,-4.697713,31.11125661161003
5123,5019,8.390821759620994,5123,MEDIANA DE VOLTOYA,117,40.70062,-4.5626,5019,Base ÁVILA,40.65587,-4.697713,30.766346451943644
5125,5019,13.384573708891137,5125,MENGAMUÑOZ,54,40.500807,-4.999097,5019,Base ÁVILA,40.65587,-4.697713,49.07677026593417
5132,5019,19.091890913521162,5132,MOMBELTRÁN,916,40.260166,-5.017888,5019,Base ÁVILA,40.65587,-4.697713,70.00360001624426
5134,5019,19.926030029488018,5134,MORALEJA DE MATACABRAS,53,41.107301,-4.957097,5019,Base ÁVILA,40.65587,-4.697713,73.06211010812272
5145,5019,11.175102428789348,5145,NARRILLOS DEL REBOLLAR,34,40.66492,-4.965875,5019,Base ÁVILA,40.65587,-4.697713,40.97537557222761
5149,5019,12.725187109499448,5149,NARROS DE SALDUEÑA,106,40.874873,-4.869506,5019,Base ÁVILA,40.65587,-4.697713,46.65901940149798
5153,37274,25.639441433706796,5153,NAVA DEL BARCO,83,40.293301,-5.541534,37274,Base SALAMANCA,40.967368,-5.665381,94.01128525692492
5151,5019,17.339000515969055,5151,NAVACEPEDILLA DE CORNEJA,100,40.485839,-5.18435,5019,Base ÁVILA,40.65587,-4.697713,63.576335225219864
5156,5019,16.075102547918036,5156,NAVAHONDILLA,353,40.325282,-4.493649,5019,Base ÁVILA,40.65587,-4.697713,58.94204267569946
5159,37274,26.26872876472826,5159,NAVALONGUILLA,185,40.277609,-5.49816,37274,Base SALAMANCA,40.967368,-5.665381,96.31867213733695
5165,5019,18.473558298364914,5165,NAVARREDONDA DE GREDOS,446,40.362113,-5.136119,5019,Base ÁVILA,40.65587,-4.697713,67.73638042733802
5166,5019,11.763252753811429,5166,NAVARREDONDILLA,158,40.453563,-4.821246,5019,Base ÁVILA,40.65587,-4.697713,43.13192676397524
5170,37274,24.401886375040995,5170,NAVATEJARES,50,40.335782,-5.530851,37274,Base SALAMANCA,40.967368,-5.665381,89.47358337515031
5173,5019,9.442450770381477,5173,OJOS-ALBOS,96,40.706461,-4.516428,5019,Base ÁVILA,40.65587,-4.697713,34.62231949139875
5178,5019,19.152179110702946,5178,PALACIOS DE GODA,397,41.117852,-4.784989,5019,Base ÁVILA,40.65587,-4.697713,70.22465673924412
5179,5019,12.188075619808707,5179,PAPATRIGO,219,40.870151,-4.831484,5019,Base ÁVILA,40.65587,-4.697713,44.68961060596526
5183,5019,13.74546939774171,5183,PEDRO-RODRÍGUEZ,134,40.936524,-4.785315,5019,Base ÁVILA,40.65587,-4.697713,50.400054458386265
5185,5019,8.701692671378668,5185,PEÑALBA DE ÁVILA,105,40.771991,-4.747349,5019,Base ÁVILA,40.65587,-4.697713,31.90620646172178
5187,5019,15.255800062449135,5187,PIEDRALAVES,2150,40.317684,-4.6983,5019,Base ÁVILA,40.65587,-4.697713,55.93793356231349
5189,5019,23.208969529896287,5189,POYALES DEL HOYO,487,40.172433,-5.165447,5019,Base ÁVILA,40.65587,-4.697713,85.09955494295305
5193,37274,18.62025747394341,5193,RASUEROS,160,41.023092,-5.074918,37274,Base SALAMANCA,40.967368,-5.665381,68.27427740445917
5197,5019,7.932996573116054,5197,SALOBRAL,102,40.611407,-4.810891,5019,Base ÁVILA,40.65587,-4.697713,29.08765410142553
5198,5019,16.342661218840128,5198,SALVADIÓS,71,40.876831,-5.096168,5019,Base ÁVILA,40.65587,-4.697713,59.92309113574713
5199,37274,21.954771390514264,5199,SAN BARTOLOMÉ DE BÉJAR,49,40.408286,-5.662693,37274,Base SALAMANCA,40.967368,-5.665381,80.50082843188564
5210,5019,11.176559411868574,5210,SAN JUAN DE LA ENCINILLA,70,40.828819,-4.839691,5019,Base ÁVILA,40.65587,-4.697713,40.98071784351811
5211,5019,10.395869989217685,5211,SAN JUAN DE LA NAVA,426,40.478247,-4.683971,5019,Base ÁVILA,40.65587,-4.697713,38.11818996046484
5219,5019,12.001539546497744,5219,SAN PASCUAL,45,40.882395,-4.756622,5019,Base ÁVILA,40.65587,-4.697713,44.00564500382506
5231,5019,14.755453578901085,5231,SAN VICENTE DE ARÉVALO,165,40.967983,-4.800637,5019,Base ÁVILA,40.65587,-4.697713,54.10332978930398
5221,5019,19.16394056343432,5221,SANTA CRUZ DEL VALLE,304,40.250843,-5.003373,5019,Base ÁVILA,40.65587,-4.697713,70.26778206592583
5233,5019,15.84163021613399,5233,SERRANILLOS,252,40.337343,-4.911176,5019,Base ÁVILA,40.65587,-4.697713,58.08597745915796
5234,5019,11.933306900747791,5234,SIGERES,41,40.799321,-4.932627,5019,Base ÁVILA,40.65587,-4.697713,43.75545863607523
5235,5019,18.142157918322468,5235,SINLABAJOS,135,41.077176,-4.831955,5019,Base ÁVILA,40.65587,-4.697713,66.52124570051572
5238,5019,10.704367977814291,5238,SOLOSANCHO,758,40.554221,-4.906181,5019,Base ÁVILA,40.65587,-4.697713,39.249349251985734
5245,5019,7.118286595103575,5245,TORNADIZOS DE ÁVILA,465,40.626366,-4.614274,5019,Base ÁVILA,40.65587,-4.697713,26.10038418204644
5251,5019,14.982968902417863,5251,VADILLO DE LA SIERRA,51,40.606284,-5.126526,5019,Base ÁVILA,40.65587,-4.697713,54.93755264219883
5253,5019,10.662167533155564,5253,VEGA DE SANTA MARÍA,86,40.836272,-4.634191,5019,Base ÁVILA,40.65587,-4.697713,39.09461428823707
5259,5019,17.2281691662279,5259,VILLANUEVA DEL ACERAL,92,41.041601,-4.853025,5019,Base ÁVILA,40.65587,-4.697713,63.1699536095023
5260,5019,16.34612124074058,5260,VILLANUEVA DEL CAMPILLO,101,40.578337,-5.179902,5019,Base ÁVILA,40.65587,-4.697713,59.935777882715456
5263,5019,14.990528183162663,5263,VILLATORO,161,40.555342,-5.110942,5019,Base ÁVILA,40.65587,-4.697713,54.965270004929764
5264,5019,12.83134199478371,5264,VIÑEGRA DE MORAÑA,48,40.851549,-4.920169,5019,Base ÁVILA,40.65587,-4.697713,47.0482539808736
9001,9059,13.98302407226902,9001,ABAJAS,28,42.623249,-3.581763,9059,Base BURGOS,42.34113,-3.704198,51.27108826498641
9003,34120,25.397302366770504,9003,ADRADA DE HAZA,205,41.594223,-3.823097,34120,Base PALENCIA,42.007837,-4.534601,93.12344201149185
9006,9059,17.24904975210801,9006,AGUAS CÁNDIDAS,59,42.717274,-3.504476,9059,Base BURGOS,42.34113,-3.704198,63.24651575772938
9011,9059,22.424813777224497,9011,ALFOZ DE BRICIA,68,42.906017,-3.847067,9059,Base BURGOS,42.34113,-3.704198,82.22431718315649
9019,9059,24.313906407083035,9019,ARANDILLA,155,41.737684,-3.430006,9059,Base BURGOS,42.34113,-3.704198,89.15099015930446
9020,9059,21.238629487955247,9020,ARAUZO DE MIEL,274,41.85988,-3.38775,9059,Base BURGOS,42.34113,-3.704198,77.87497478916924
9026,9059,10.541059831313847,9026,ARLANZÓN,424,42.32029,-3.458652,9059,Base BURGOS,42.34113,-3.704198,38.65055271481744
9038,9059,17.00054476736807,9038,BARBADILLO DEL MERCADO,134,42.039213,-3.358933,9059,Base BURGOS,42.34113,-3.704198,62.335330813682916
9041,9059,13.488290702579421,9041,BARRIO DE MUÑÓ,32,42.174503,-4.008068,9059,Base BURGOS,42.34113,-3.704198,49.45706590945788
9047,9059,13.68100631055015,9047,BELBIMBRE,54,42.168607,-4.012817,9059,Base BURGOS,42.34113,-3.704198,50.16368980535055
9051,34120,22.800346766859604,9051,BERLANGAS DE ROA,203,41.689249,-3.872793,34120,Base PALENCIA,42.007837,-4.534601,83.60127147848522
9052,9059,18.078403134332095,9052,BERZOSA DE BUREBA,26,42.627,-3.266343,9059,Base BURGOS,42.34113,-3.704198,66.28747815921768
9057,9059,22.979883636938016,9057,BUGEDO,189,42.649938,-3.017774,9059,Base BURGOS,42.34113,-3.704198,84.2595733354394
9059,9059,5.0,9059,BURGOS,175895,42.34113,-3.704198,9059,Base BURGOS,42.34113,-3.704198,18.333333333333332
9065,34120,26.78313002676067,9065,CAMPILLO DE ARANDA,171,41.610745,-3.731552,34120,Base PALENCIA,42.007837,-4.534601,98.20481009812245
9067,42173,19.011401053580087,9067,CANICOSA DE LA SIERRA,424,41.937898,-3.04051,42173,Base SORIA,41.763279,-2.466248,69.70847052979366
9068,9059,18.023976826467553,9068,CANTABRANA,23,42.73364,-3.467654,9059,Base BURGOS,42.34113,-3.704198,66.08791503038103
9071,9059,13.499514737161993,9071,CARCEDO DE BUREBA,37,42.576981,-3.498959,9059,Base BURGOS,42.34113,-3.704198,49.498220702927306
9073,9059,6.460370686409495,9073,CARDEÑADIJO,1430,42.301727,-3.666756,9059,Base BURGOS,42.34113,-3.704198,23.68802585016815
9074,9059,6.920508629082228,9074,CARDEÑAJIMENO,1169,42.330584,-3.619723,9059,Base BURGOS,42.34113,-3.704198,25.375198306634836
9077,9059,19.59879383130549,9077,CASCAJARES DE BUREBA,27,42.677838,-3.237474,9059,Base BURGOS,42.34113,-3.704198,71.86224404812013
9085,34120,25.213764697524187,9085,CASTRILLO DE LA VEGA,621,41.65074,-3.779261,34120,Base PALENCIA,42.007837,-4.534601,92.45047055758869
9086,9059,7.80198201949783,9086,CASTRILLO DEL VAL,823,42.31343,-3.584971,9059,Base BURGOS,42.34113,-3.704198,28.607267404825375
9091,9059,14.969363482873787,9091,CASTROJERIZ,778,42.289864,-4.143335,9059,Base BURGOS,42.34113,-3.704198,54.88766610387055
9063,9059,8.608164575708992,9063,CAVIA,248,42.282547,-3.844237,9059,Base BURGOS,42.34113,-3.704198,31.56327011093297
9094,9059,16.07294891797795,9094,CEBRECOS,58,41.984871,-3.596263,9059,Base BURGOS,42.34113,-3.704198,58.934146032585815
9100,9059,12.799127387308353,9100,CERRATÓN DE JUARROS,45,42.422384,-3.373869,9059,Base BURGOS,42.34113,-3.704198,46.93013375346396
9102,9059,20.425766448479997,9102,CILLAPERLATA,30,42.780866,-3.357062,9059,Base BURGOS,42.34113,-3.704198,74.89447697776
9105,9059,18.744305320279402,9105,CIRUELOS DE CERVERA,99,41.906957,-3.52891,9059,Base BURGOS,42.34113,-3.704198,68.72911950769114
9112,9059,23.820607096438753,9112,CORUÑA DEL CONDE,100,41.765435,-3.392005,9059,Base BURGOS,42.34113,-3.704198,87.34222602027542
9114,9059,10.593633996883868,9114,CUBILLO DEL CAMPO,101,42.170096,-3.610891,9059,Base BURGOS,42.34113,-3.704198,38.84332465524085
9123,9059,14.734097459471515,9123,ESPINOSA DEL CAMINO,42,42.407118,-3.278989,9059,Base BURGOS,42.34113,-3.704198,54.025024018062226
9127,9059,17.085297651515745,9127,FONTIOSO,54,41.943435,-3.738642,9059,Base BURGOS,42.34113,-3.704198,62.646091388891065
9133,9059,10.47576223039621,9133,FRESNO DE RODILLA,49,42.418823,-3.483545,9059,Base BURGOS,42.34113,-3.704198,38.411128178119434
9136,34120,23.920077746263882,9136,FUENTECÉN,237,41.628247,-3.87023,34120,Base PALENCIA,42.007837,-4.534601,87.7069517363009
9140,40194,24.482275668474447,9140,FUENTENEBRO,136,41.528413,-3.753817,40194,Base SEGOVIA,40.94987,-4.125241,89.76834411773963
9155,34120,24.768269181406065,9155,HAZA,34,41.621037,-3.830592,34120,Base PALENCIA,42.007837,-4.534601,90.8169869984889
9172,9059,10.708894493676972,9172,HUÉRMECES,153,42.522613,-3.771976,9059,Base BURGOS,42.34113,-3.704198,39.265946476815564
9175,9059,18.064240456737238,9175,HUMADA,116,42.668685,-4.083744,9059,Base BURGOS,42.34113,-3.704198,66.23554834136986
9176,9059,7.834016884610181,9176,HURONES,53,42.406304,-3.61354,9059,Base BURGOS,42.34113,-3.704198,28.724728576904
9178,9059,19.318335254211576,9178,IBRILLOS,29,42.454031,-3.083395,9059,Base BURGOS,42.34113,-3.704198,70.83389593210912
9181,9059,10.078153664747454,9181,ISAR,284,42.361594,-3.929085,9059,Base BURGOS,42.34113,-3.704198,36.953230104073995
9184,9059,15.969124908026547,9184,JARAMILLO QUEMADO,10,42.084241,-3.360395,9059,Base BURGOS,42.34113,-3.704198,58.55345799609734
9191,9059,13.816976777192084,9191,JURISDICCIÓN DE LARA,41,42.123126,-3.444394,9059,Base BURGOS,42.34113,-3.704198,50.66224818303764
9192,9059,24.486295836962544,9192,JURISDICCIÓN DE SAN ZADORNIL,66,42.841597,-3.156766,9059,Base BURGOS,42.34113,-3.704198,89.78308473552933
